[30 05:46:42 130@hack.py:Hack] Episode 0/1000, Total Reward: 0.0
[30 05:46:48 130@hack.py:Hack] Episode 1/1000, Total Reward: 0.0
[30 05:46:54 130@hack.py:Hack] Episode 2/1000, Total Reward: 0.0
[30 05:46:59 130@hack.py:Hack] Episode 3/1000, Total Reward: 0.0
[30 05:47:05 130@hack.py:Hack] Episode 4/1000, Total Reward: 0.0
[30 05:47:11 130@hack.py:Hack] Episode 5/1000, Total Reward: 0.0
[30 05:47:17 130@hack.py:Hack] Episode 6/1000, Total Reward: 0.0
[30 05:47:23 130@hack.py:Hack] Episode 7/1000, Total Reward: -0.060000000000000005
[30 05:47:29 130@hack.py:Hack] Episode 8/1000, Total Reward: -0.22000000000000006
[30 05:47:34 130@hack.py:Hack] Episode 9/1000, Total Reward: -0.16
[30 05:47:40 130@hack.py:Hack] Episode 10/1000, Total Reward: 0.0
[30 05:47:46 130@hack.py:Hack] Episode 11/1000, Total Reward: 0.0
[30 05:47:52 130@hack.py:Hack] Episode 12/1000, Total Reward: -0.23000000000000007
[30 05:47:58 130@hack.py:Hack] Episode 13/1000, Total Reward: -0.23000000000000007
[30 05:48:03 130@hack.py:Hack] Episode 14/1000, Total Reward: -0.21000000000000005
[30 05:48:09 130@hack.py:Hack] Episode 15/1000, Total Reward: -0.20000000000000004
[30 05:48:14 130@hack.py:Hack] Episode 16/1000, Total Reward: -0.25000000000000006
[30 05:48:20 130@hack.py:Hack] Episode 17/1000, Total Reward: -0.19000000000000003
[30 05:48:26 130@hack.py:Hack] Episode 18/1000, Total Reward: 0.0
[30 05:48:32 130@hack.py:Hack] Episode 19/1000, Total Reward: 0.0
[30 05:48:38 130@hack.py:Hack] Episode 20/1000, Total Reward: 0.0
[30 05:48:43 130@hack.py:Hack] Episode 21/1000, Total Reward: 0.0
[30 05:48:49 130@hack.py:Hack] Episode 22/1000, Total Reward: 0.0
[30 05:48:55 130@hack.py:Hack] Episode 23/1000, Total Reward: 0.0
[30 05:49:01 130@hack.py:Hack] Episode 24/1000, Total Reward: 0.0
[30 05:49:07 130@hack.py:Hack] Episode 25/1000, Total Reward: 0.0
[30 05:49:09 130@hack.py:Hack] Episode 26/1000, Total Reward: 1.0
[30 05:49:15 130@hack.py:Hack] Episode 27/1000, Total Reward: 0.0
[30 05:49:21 130@hack.py:Hack] Episode 28/1000, Total Reward: -0.23000000000000007
[30 05:49:26 130@hack.py:Hack] Episode 29/1000, Total Reward: -0.19000000000000003
[30 05:49:32 130@hack.py:Hack] Episode 30/1000, Total Reward: 0.0
[30 05:49:35 130@hack.py:Hack] Episode 31/1000, Total Reward: 1.0
[30 05:49:41 130@hack.py:Hack] Episode 32/1000, Total Reward: 0.0
[30 05:49:46 130@hack.py:Hack] Episode 33/1000, Total Reward: 0.0
[30 05:49:52 130@hack.py:Hack] Episode 34/1000, Total Reward: 0.0
[30 05:49:57 130@hack.py:Hack] Episode 35/1000, Total Reward: 0.0
[30 05:50:03 130@hack.py:Hack] Episode 36/1000, Total Reward: 0.0
[30 05:50:09 130@hack.py:Hack] Episode 37/1000, Total Reward: 0.0
[30 05:50:14 130@hack.py:Hack] Episode 38/1000, Total Reward: 0.0
[30 05:50:20 130@hack.py:Hack] Episode 39/1000, Total Reward: 0.0
[30 05:50:26 130@hack.py:Hack] Episode 40/1000, Total Reward: 0.0
[30 05:50:32 130@hack.py:Hack] Episode 41/1000, Total Reward: 0.0
[30 05:50:38 130@hack.py:Hack] Episode 42/1000, Total Reward: 0.0
[30 05:50:43 130@hack.py:Hack] Episode 43/1000, Total Reward: 0.0
[30 05:50:49 130@hack.py:Hack] Episode 44/1000, Total Reward: 0.0
[30 05:50:55 130@hack.py:Hack] Episode 45/1000, Total Reward: 0.0
[30 05:51:01 130@hack.py:Hack] Episode 46/1000, Total Reward: 0.0
[30 05:51:07 130@hack.py:Hack] Episode 47/1000, Total Reward: 0.0
[30 05:51:13 130@hack.py:Hack] Episode 48/1000, Total Reward: 0.0
[30 05:51:18 130@hack.py:Hack] Episode 49/1000, Total Reward: 0.0
[30 05:51:25 130@hack.py:Hack] Episode 50/1000, Total Reward: 0.0
[30 05:51:30 130@hack.py:Hack] Episode 51/1000, Total Reward: 0.0
[30 05:51:36 130@hack.py:Hack] Episode 52/1000, Total Reward: 0.0
[30 05:51:42 130@hack.py:Hack] Episode 53/1000, Total Reward: 0.0
[30 05:51:48 130@hack.py:Hack] Episode 54/1000, Total Reward: 0.0
[30 05:51:54 130@hack.py:Hack] Episode 55/1000, Total Reward: 0.0
[30 05:51:59 130@hack.py:Hack] Episode 56/1000, Total Reward: 0.0
[30 05:52:05 130@hack.py:Hack] Episode 57/1000, Total Reward: 0.0
[30 05:52:11 130@hack.py:Hack] Episode 58/1000, Total Reward: 0.0
[30 05:52:16 130@hack.py:Hack] Episode 59/1000, Total Reward: 0.0
[30 05:52:22 130@hack.py:Hack] Episode 60/1000, Total Reward: 0.0
[30 05:52:28 130@hack.py:Hack] Episode 61/1000, Total Reward: 0.0
[30 05:52:33 130@hack.py:Hack] Episode 62/1000, Total Reward: 0.0
[30 05:52:39 130@hack.py:Hack] Episode 63/1000, Total Reward: 0.0
[30 05:52:45 130@hack.py:Hack] Episode 64/1000, Total Reward: 0.0
[30 05:52:51 130@hack.py:Hack] Episode 65/1000, Total Reward: 0.0
[30 05:52:57 130@hack.py:Hack] Episode 66/1000, Total Reward: 0.0
[30 05:53:02 130@hack.py:Hack] Episode 67/1000, Total Reward: 0.0
[30 05:53:08 130@hack.py:Hack] Episode 68/1000, Total Reward: 0.0
[30 05:53:14 130@hack.py:Hack] Episode 69/1000, Total Reward: 0.0
[30 05:53:20 130@hack.py:Hack] Episode 70/1000, Total Reward: 0.0
[30 05:53:26 130@hack.py:Hack] Episode 71/1000, Total Reward: 0.0
[30 05:53:31 130@hack.py:Hack] Episode 72/1000, Total Reward: 0.0
